time,task_success_ratio,vehicle_count,uav_count,avg_V2U_rate,avg_V2I_rate,avg_U2I_rate,compute_load_avg,vehicle_density,uav_density,junction_0_vehicle_count,junction_1_vehicle_count,junction_2_vehicle_count
1.0,0.7647058823529411,3,50,0.0,0.0,0.0,0.014285714285714289,0.43162642209897994,7.193773701649665,0,0,0
2.0,0.8333333333333334,8,50,0.0,0.0,0.0,0.01666666666666667,1.1510037922639462,7.193773701649665,0,0,0
3.0,0.8837209302325582,12,50,1.0350255179105545,0.0,1.0473949446033066,0.01153846153846154,1.7265056883959198,7.193773701649665,0,1,0
4.0,0.9473684210526315,13,50,0.7762691384329159,0.0,1.582632486957187,0.0034482758620689663,1.8703811624289128,7.193773701649665,0,1,0
5.0,0.922077922077922,14,50,1.2734196987528235,0.0,1.2661059895657507,0.0,2.0142566364619063,7.193773701649665,0,1,0
6.0,0.9587628865979382,16,50,2.297137137003825,0.0,2.5005780277153073,0.0029411764705882357,2.3020075845278924,7.193773701649665,0,1,0
7.0,0.9724770642201835,21,50,1.968974688860422,0.0,2.1433525951845502,0.0,3.0213849546928593,7.193773701649665,0,1,0
8.0,0.9354838709677419,24,50,3.2134770488108324,0.0,1.8754335207864818,0.009523809523809525,3.4530113767918396,7.193773701649665,0,1,0
9.0,0.9273743016759777,29,50,3.4499975099304367,0.0,2.0161437165999794,0.023015873015873017,4.1723887469568055,7.193773701649665,0,1,0
10.0,0.9411764705882353,37,50,3.1049977589373934,0.0,2.031645327193759,0.017777777777777778,5.323392539220752,7.193773701649665,0,2,1
11.0,0.9457013574660633,41,50,3.1270681576001977,0.849033822113261,2.2436998169841535,0.011347517730496456,5.898894435352726,7.193773701649665,0,2,1
12.0,0.9539748953974896,44,50,3.661829135944558,0.7782810036038226,2.3278039108937563,0.0041666666666666675,6.330520857451705,7.193773701649665,0,3,1
13.0,0.933993399339934,46,50,3.7103205383993467,1.031116883703005,2.395761313951951,0.018551587301587298,6.618271805517692,7.193773701649665,0,2,1
14.0,0.9539877300613497,48,50,4.055481793972043,0.957465677724219,2.2246355058125262,0.01812865497076023,6.906022753583679,7.193773701649665,0,2,1
15.0,0.952247191011236,50,50,4.1389770789764615,0.8936346325426044,2.3672075816526137,0.017514124293785308,7.193773701649665,7.193773701649665,1,2,1
16.0,0.958656330749354,52,50,4.466038651652379,0.8377824680086917,2.2192571077993257,0.009836065573770491,7.481524649715651,7.193773701649665,1,2,1
17.0,0.9436008676789588,55,50,4.452096675397411,0.7885011463611209,2.0887125720464224,0.020634920634920634,7.913151071814632,7.193773701649665,1,3,1
18.0,0.9574898785425101,57,50,4.383628320057169,0.7446955271188358,2.151132464531276,0.00390625,8.200902019880619,7.193773701649665,1,2,1
19.0,0.9689320388349515,61,50,4.152911040054157,0.7055010256915281,2.03791496639805,0.002272727272727273,8.77640391601259,7.193773701649665,1,2,1
20.0,0.9611111111111111,65,50,3.945265488051446,0.6702259744069512,1.9360192180781457,0.007352941176470588,9.351905812144565,7.193773701649665,0,2,1
21.0,0.951304347826087,69,50,3.85881388886781,0.6383104518161437,1.84382782674109,0.007511737089201878,9.927407708276538,7.193773701649665,0,2,1
22.0,0.9666110183639399,71,50,3.879946744684501,0.609296340369955,1.7600174709801304,0.008675799086757991,10.215158656342524,7.193773701649665,0,2,1
23.0,0.9725363489499192,77,50,3.759594570810387,0.5828051951364783,1.6834949722418628,0.0022222222222222227,11.078411500540483,7.193773701649665,0,6,1
24.0,0.9645608628659477,77,50,3.7814194260383567,0.5585216453391247,1.6133493483984511,0.001234567901234568,11.078411500540483,7.193773701649665,0,6,0
25.0,0.968562874251497,78,50,3.7580120248358244,0.5361807795255595,1.593596957680656,0.0036585365853658543,11.222286974573477,7.193773701649665,0,7,0
26.0,0.9641319942611191,80,50,3.8095562305368524,0.5155584418514993,1.53230476700063,0.009920634920634922,11.510037922639464,7.193773701649665,0,8,0
27.0,0.9695290858725761,85,50,3.708509948319093,0.49646368474588803,1.5563998924478184,0.004365079365079365,12.22941529280443,7.193773701649665,1,8,0
28.0,0.9700680272108844,90,50,4.157554419960994,0.47873283886210616,1.500814182003253,0.005098039215686275,12.948792662969396,7.193773701649665,1,8,1
29.0,0.9692923898531375,92,50,4.200910961587181,0.4622248099358265,1.4490619688307265,0.007843137254901962,13.236543611035383,7.193773701649665,1,7,1
30.0,0.9705128205128205,92,50,4.243336076766521,0.4468173162712988,1.4007599032030351,0.005992509363295881,13.236543611035383,7.193773701649665,1,6,2
